Filters,Kernel Size,Activation,Padding,Pool Size,Stride,Kernel Initializer,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Train Time (s)
16,"(3, 3)",relu,same,"(2, 2)","(2, 2)",he_normal,0.4515867233276367,0.918749988079071,0.722449779510498,0.7749999761581421,50.219707012176514
16,"(3, 3)",relu,same,"(2, 2)","(2, 2)",glorot_uniform,0.4763866364955902,0.90625,0.7462829947471619,0.75,54.10757398605347
16,"(3, 3)",relu,valid,"(2, 2)","(2, 2)",he_normal,1.4786548614501953,0.3687500059604645,1.484916090965271,0.375,21.485121726989746
16,"(3, 3)",relu,valid,"(2, 2)","(2, 2)",glorot_uniform,0.6363536715507507,0.862500011920929,0.9014385938644409,0.675000011920929,55.81001019477844
16,"(3, 3)",tanh,same,"(2, 2)","(2, 2)",he_normal,0.3361241817474365,0.9125000238418579,0.6699090003967285,0.7250000238418579,47.31266522407532
16,"(3, 3)",tanh,same,"(2, 2)","(2, 2)",glorot_uniform,0.38676881790161133,0.918749988079071,0.7055914998054504,0.7250000238418579,47.77627372741699
16,"(3, 3)",tanh,valid,"(2, 2)","(2, 2)",he_normal,0.3559975028038025,0.8999999761581421,0.7098966836929321,0.699999988079071,56.734047651290894
16,"(3, 3)",tanh,valid,"(2, 2)","(2, 2)",glorot_uniform,0.42608338594436646,0.90625,0.7774161100387573,0.7250000238418579,55.30293917655945
16,"(5, 5)",relu,same,"(2, 2)","(2, 2)",he_normal,0.4061747193336487,0.8999999761581421,0.6039031147956848,0.7749999761581421,74.07367825508118
16,"(5, 5)",relu,same,"(2, 2)","(2, 2)",glorot_uniform,0.3885525166988373,0.925000011920929,0.5850297808647156,0.7749999761581421,73.04272723197937
16,"(5, 5)",relu,valid,"(2, 2)","(2, 2)",he_normal,0.4757593274116516,0.8999999761581421,0.7630592584609985,0.699999988079071,70.39180302619934
16,"(5, 5)",relu,valid,"(2, 2)","(2, 2)",glorot_uniform,0.5929964184761047,0.8187500238418579,0.9157640337944031,0.7250000238418579,70.55040502548218
16,"(5, 5)",tanh,same,"(2, 2)","(2, 2)",he_normal,0.18592581152915955,0.949999988079071,0.803744912147522,0.75,74.28065371513367
16,"(5, 5)",tanh,same,"(2, 2)","(2, 2)",glorot_uniform,0.2576271891593933,0.9312499761581421,0.7473691701889038,0.7250000238418579,73.49752616882324
16,"(5, 5)",tanh,valid,"(2, 2)","(2, 2)",he_normal,0.34034910798072815,0.90625,0.6154537200927734,0.75,71.59256887435913
16,"(5, 5)",tanh,valid,"(2, 2)","(2, 2)",glorot_uniform,0.318873792886734,0.90625,0.6618298888206482,0.7749999761581421,71.03591465950012
32,"(3, 3)",relu,same,"(2, 2)","(2, 2)",he_normal,0.48655977845191956,0.9312499761581421,0.7268078923225403,0.7250000238418579,78.51976561546326
32,"(3, 3)",relu,same,"(2, 2)","(2, 2)",glorot_uniform,0.6726232171058655,0.762499988079071,1.1844279766082764,0.625,77.78962087631226
32,"(3, 3)",relu,valid,"(2, 2)","(2, 2)",he_normal,0.633931577205658,0.875,0.8728458285331726,0.699999988079071,76.20609188079834
32,"(3, 3)",relu,valid,"(2, 2)","(2, 2)",glorot_uniform,0.5862654447555542,0.8062499761581421,0.7640855312347412,0.7749999761581421,72.95851159095764
32,"(3, 3)",tanh,same,"(2, 2)","(2, 2)",he_normal,0.3622589409351349,0.875,0.6303662657737732,0.75,72.21605682373047
32,"(3, 3)",tanh,same,"(2, 2)","(2, 2)",glorot_uniform,0.280822217464447,0.918749988079071,0.649880051612854,0.7749999761581421,79.32754969596863
32,"(3, 3)",tanh,valid,"(2, 2)","(2, 2)",he_normal,0.3333677351474762,0.8812500238418579,0.7332332730293274,0.7250000238418579,79.83735370635986
32,"(3, 3)",tanh,valid,"(2, 2)","(2, 2)",glorot_uniform,0.6110086441040039,0.8187500238418579,0.7972531318664551,0.7250000238418579,50.94038724899292
32,"(5, 5)",relu,same,"(2, 2)","(2, 2)",he_normal,0.36641645431518555,0.8999999761581421,0.5347244143486023,0.800000011920929,98.56866192817688
32,"(5, 5)",relu,same,"(2, 2)","(2, 2)",glorot_uniform,0.46711859107017517,0.893750011920929,0.6626697778701782,0.800000011920929,66.62630844116211
32,"(5, 5)",relu,valid,"(2, 2)","(2, 2)",he_normal,0.461840957403183,0.893750011920929,0.6777888536453247,0.7749999761581421,96.02887749671936
32,"(5, 5)",relu,valid,"(2, 2)","(2, 2)",glorot_uniform,0.3251705765724182,0.9125000238418579,0.7303413152694702,0.675000011920929,92.92664051055908
32,"(5, 5)",tanh,same,"(2, 2)","(2, 2)",he_normal,0.3070080876350403,0.90625,0.5595263242721558,0.7749999761581421,90.42153668403625
32,"(5, 5)",tanh,same,"(2, 2)","(2, 2)",glorot_uniform,0.444589227437973,0.8812500238418579,0.7136996984481812,0.75,66.83583188056946
32,"(5, 5)",tanh,valid,"(2, 2)","(2, 2)",he_normal,0.5807062983512878,0.8187500238418579,0.801695704460144,0.7250000238418579,41.96688175201416
32,"(5, 5)",tanh,valid,"(2, 2)","(2, 2)",glorot_uniform,0.35231834650039673,0.8999999761581421,0.6468275785446167,0.7749999761581421,94.91380786895752
64,"(3, 3)",relu,same,"(2, 2)","(2, 2)",he_normal,0.6452361345291138,0.762499988079071,0.8423012495040894,0.699999988079071,122.57032203674316
64,"(3, 3)",relu,same,"(2, 2)","(2, 2)",glorot_uniform,0.27071046829223633,0.956250011920929,0.5881167054176331,0.75,119.9996988773346
64,"(3, 3)",relu,valid,"(2, 2)","(2, 2)",he_normal,0.47250062227249146,0.887499988079071,0.6905261874198914,0.75,123.94633674621582
64,"(3, 3)",relu,valid,"(2, 2)","(2, 2)",glorot_uniform,0.3546345829963684,0.9125000238418579,0.8309992551803589,0.675000011920929,125.75095129013062
64,"(3, 3)",tanh,same,"(2, 2)","(2, 2)",he_normal,0.514249324798584,0.875,0.6839969158172607,0.75,69.6364369392395
64,"(3, 3)",tanh,same,"(2, 2)","(2, 2)",glorot_uniform,0.42962509393692017,0.831250011920929,0.5487009882926941,0.75,105.15205407142639
64,"(3, 3)",tanh,valid,"(2, 2)","(2, 2)",he_normal,0.6291671991348267,0.8187500238418579,0.7826175689697266,0.7250000238418579,56.12883400917053
64,"(3, 3)",tanh,valid,"(2, 2)","(2, 2)",glorot_uniform,0.44000697135925293,0.8500000238418579,0.7078217267990112,0.75,91.03768992424011
64,"(5, 5)",relu,same,"(2, 2)","(2, 2)",he_normal,0.4797130525112152,0.8812500238418579,0.5953360199928284,0.7749999761581421,124.86965417861938
64,"(5, 5)",relu,same,"(2, 2)","(2, 2)",glorot_uniform,0.25205352902412415,0.925000011920929,0.6192973256111145,0.800000011920929,148.29390716552734
64,"(5, 5)",relu,valid,"(2, 2)","(2, 2)",he_normal,0.4958255887031555,0.831250011920929,0.8715417981147766,0.699999988079071,143.64815855026245
64,"(5, 5)",relu,valid,"(2, 2)","(2, 2)",glorot_uniform,0.3497450649738312,0.90625,0.5851140022277832,0.800000011920929,140.9939844608307
64,"(5, 5)",tanh,same,"(2, 2)","(2, 2)",he_normal,0.569731593132019,0.8125,0.6975525617599487,0.699999988079071,99.85814499855042
64,"(5, 5)",tanh,same,"(2, 2)","(2, 2)",glorot_uniform,0.19854986667633057,0.949999988079071,0.5329529047012329,0.7749999761581421,155.15173506736755
64,"(5, 5)",tanh,valid,"(2, 2)","(2, 2)",he_normal,0.10990060865879059,0.96875,0.8845659494400024,0.7749999761581421,154.1829218864441
64,"(5, 5)",tanh,valid,"(2, 2)","(2, 2)",glorot_uniform,0.4412696957588196,0.8500000238418579,0.6133896112442017,0.7749999761581421,90.12982654571533
